Accountable Manager,Accountable Manager Email,Accountable Manager Phone Number,Address Line 1,Address Line 2,Address Line 3,Agency Email,Agency Name,Agency Phone Number,Cert_No,City,Country ,DBA,DSGN_CODE,Email,Liaison,Liaison Email,Liaison Phone Number,Postal Code,State/Province,Update_Date
"COUNASSE, CARL",,,860J AVIATION BLVD,,,,"SHERPA AIR MRO, LLC",6365002100,9C2R788C,GEORGETOWN,UNITED STATES,,9C2R,,,,,29440,SC,3/2/2026
"COVALT, JUSTIN D.",,,7200 MILLIONAIRE DRIVE,"HANGAR 6, WILEY POST AIRPORT",,jc@avionaero.com,AVIATION SERVICES UNLIMITED INC,4057878111,X6UR264N,BETHANY,UNITED STATES,DBA AVION AERO,X6UR,jc@avionaero.com,"COVALT, JUSTIN D.",jc@avionaero.com,4057878111,73008,OK,3/2/2026
"COX, MICHAEL ALAN",,,10130 OWL HEAD CIRCLE,,,macaviation1@aol.com,MAC AVIATION INC,3035060280,4VMR350D,PORT CHARLOTTE,UNITED STATES,,4VMR,macaviation1@aol.com,MICHAEL ALAN COX,macaviation1@aol.com,3035060280,33981,FL,3/2/2026
"CRAIN, STACY",,,1235 PROFIT DR.,,,scrain@dasvcs.com,"FLITE COMPOSITES, LLC",9727233164,FBQR568Y,DALLAS,UNITED STATES,"DBA FLITE COMPONENTS, LLC",FBQR,scrain@dasvcs.com,STACY CRAIN,scrain@dasvcs.com,9727233164,75247,TX,3/2/2026
"CRANSWICK, STEPHEN",,,265 DURLEY AVENUE,,,,SEAVIEW AVIATION LLC,4357725579,SEAR303E,CAMARILLO,UNITED STATES,,SEAR,,AARON HOSKING,aaron@svaviation.com,4357725579,93010,CA,3/2/2026
"CRAWFORD, GLENN A.",,,10570 SPRINGBORO PIKE,,,,"GC AVIATION SERVICES-1, LLC",,GA5R876M,MIAMISBURG,UNITED STATES,DBA FIRST FLIGHT AVIATION,GA5R,,"LATTA, DUNCAN",dlatta@firstflightaviation.com,9378855580 EXT. 110,45342,OH,3/2/2026
"CRENSHAW, HARREL",,,7000 CHALLENGER AVENUE,,,spaceportavionics@gmail.com,SPACEPORT AVIONICS SERVICES INC,3212899496,18SR043D,TITUSVILLE,UNITED STATES,,18SR,spaceportavionics@gmail.com,THIAGO VASSOLER FERNANDES,spaceportavionics@gmail.com,3212899496,32780,FL,3/2/2026
"CRIOU, OLIVIER",,,316 ROUTE DE BAYONNE,,,jaafar.tabi@airbus.com,AIRBUS OPERATIONS,33561933333,3XAY938B,TOULOUSE,FRANCE,"DBA AIRBUS AVIONICS AND
   AND SIMULATION PRODUCTS",3XAY,jaafar.tabi@airbus.com,,,,31060,,3/2/2026
"CROMWELL, OLIVIA",,,9800 KELLNER ROAD,,,,"BASF MOBILE EMISSIONS CATALYSTS, LLC",,E72R725N,HUNTSVILLE,UNITED STATES,,E72R,,"BENSON, EFREN",efren.benson@basf.com,2564643860,35824,AL,3/2/2026
"CROOKS, JOSHUA K.",,,1500 BROWN TRAIL,,,jeff@rebtechnvg.com,REB TECHNOLOGIES INC,8172857740,MVVR049L,BEDFORD,UNITED STATES,DBA REBTECH,MVVR,jeff@rebtechnvg.com,JOSHUA CROOKS,josh@rebtechnvg.com,8172857740,76022,TX,3/2/2026
"CROSSLAND, MICHAEL S.",,,19931 STUEBNER AIRLINE RD,,,,HELICOPTER SERVICES INC,2813704354,HLXR728E,SPRING,UNITED STATES,,HLXR,,"CROSSLAND, MICHAEL S.",mcrossland@heliserv.com,2813704354,77379,TX,3/2/2026
"CROSSWELL, JOE",,,4367 KNOB ROAD,,,,TCAS AVIONICS LLC,8173125385,4XWR201D,SPRINGTOWN,UNITED STATES,,4XWR,,DAVID CROSSWELL,joe.crosswell@tmac.org,8173125385,76082,TX,3/2/2026
"CROUSON, JOE",,,7018 NORTH LAKEWOOD,,,,THE NORDAM GROUP LLC,9182742700,EZ22812K,TULSA,UNITED STATES,,EZ22,,HATFIELD STACY,shatfield@nordam.com,9184015900,74117,OK,3/2/2026
"CRUCE, JOHN",,,3985 TORRINGTON ROAD,,,john.c@charteraloft.com,"ALOFT AVIATION MAINTENANCE, LLP",7175384077,ALLR475E,LAURENS,UNITED STATES,,ALLR,john.c@charteraloft.com,JOHN CRUCE,john.c@charteraloft.com,7175384077,29360,SC,3/2/2026
"CRUMMER, KURT",,,"148 AVIATION LANE, SUITE 109",ARNOLD PALMER REGIONAL AIRPORT,,,"LAUREL HIGHLANDS JET CENTER, LLC",,GY1R183K,LATROBE,UNITED STATES,"DBA LAUREL HIGHLAND JET
   JET CENTER",GY1R,,KURT KRUMMER,maintenance@veeneal.com,7245394533,15650,PA,3/2/2026
"CRUMRINE, TERRY",,,"9424 E. 37TH ST. N., SUITE 300",,,tcrumrine@aircapitalinteriors.com,AIR CAPITAL INTERIORS INC,3166334790,2CKR608C,WICHITA,UNITED STATES,,2CKR,tcrumrine@aircapitalinteriors.com,TERRY CRUMRINE,tcrumrine@aircapitalinteriors.com,3166334790 EXT. 315,67226,KS,3/2/2026
"CRUZ, ARTURO P.",,,HANGARES 4 & 5,AEROPUERTO INTERNACIONAL DE CIUDAD,,,TRANSPORTES AEREOS PEGASO S.A. DE.C.V,,TA3Y913D,CIUDAD DEL CARMEN,MEXICO,,TA3Y,,ARTURO CRUZ,arturoprimo@tapsa-mx.com,529383823,24190,CP,3/2/2026
"CUADRA, DAVID",,,10870 NW 138TH STREET BAY 2,,,,7 GENERATIONS AEROSPACE,,7G3R286E,HIALEAH GARDENS,UNITED STATES,,7G3R,,DAVID  CUADRA,david@7gen.aero,9548815863,33018,FL,3/2/2026
"CUEILLE, STEPHANE",,,ETABLISSEMENT DE CHAURAY,272 RUE DU CHATEAU MUSSET,,stephane.cueille@safrangroup.com,SAFRAN ELECTRICAL & POWER,330534282865,E63Y863N,CHAURAY,FRANCE,,E63Y,stephane.cueille@safrangroup.com,"LEMASSON, ERIC",eric.lemasson@safrangroup.com,,79180,,3/2/2026
"CUESTA, DANIEL F",,,3317 S.W. 11TH AVENUE,,,,IMX AEROSPACE,,4XMR492D,FORT LAUDERDALE,UNITED STATES,,4XMR,,DANIEL CUESTA,dcuesta@imxaerospace.com,9545301278,33315,FL,3/2/2026
"CULBERTSON, DAVID",,,BLDG 1715 CHENNAULT ST,HANSCOM AFB,,,MIT LINCOLN LABORATORY FLIGHT FACILITY,,QY5R162N,BEDFORD,UNITED STATES,,QY5R,,THOMAS BUELL,buell@mit.edu,7819812750,01731,MA,3/2/2026
"CUMMINGS, MICHAEL",,,1450 AVENUE S.,,,,METAL IMPROVEMENT COMPANY INC,,VF1R556K,GRAND PRAIRIE,UNITED STATES,"DBA METAL IMPROVEMENT COMPANY,
   COMPANY, INC. - DALLAS",VF1R,,"JOSE, CRUZ",jose.cruz@cwst.com,9726418011,75050,TX,3/2/2026
"CUNATI, GIANCARLO",,,"VIA LUIGI BRIANTE 247,",,,,TEMA AVIO S.R.L,,TEMY904D,SOMMA LOMBARDO,ITALY,,TEMY,,DEODATI ENRICO,e.deodati@tema-avio.it,,21019,,3/2/2026
"CUNZOLO, PETER",,,4751 JIM WALTER BLVD.,,,rjones@execujetcharter.com,"EXECUJET AVIATION SERVICES, LLC.",8134900208,EEER498E,TAMPA,UNITED STATES,,EEER,rjones@execujetcharter.com,ROBERT JONES,rjones@execujetcharter.com,8134900208,33607,FL,3/2/2026
"CURILINS, ANDREJS",,,BLOCK P6-025 SAIF ZONE,SHARJAH INTERNATIONAL AIRPORT,,,GULF AIRCRAFT AND ENGINEERING SERVICES (GAES) (FZE,,GAXY412E,DUBAI,UNITED ARAB EMIRATES,DBA GAES,GAXY,,KURT F. WASSENITZ,compliance.monitoring@gaes.ae,,.,,3/2/2026
"CURIOSO, ENRIQUE",,,55 WOODLEAF,,,,"PSC AERO, LLC.",9498994974,VACR249E,IRVINE,UNITED STATES,,VACR,,ENRIQUE CURIOSO,enriquecurioso@gmail.com,9498994974,92614,CA,3/2/2026
"CURRAN, JOHN",,,WORLD AVIATION PARK,,,john.curran2@collins.com,SHANNON AIRCRAFT MOTOR WORKS LTD.,+35361707070,NWXY386L,SHANNON,IRELAND,DBA HAMILTON SUNDSTRAND SHANNON,NWXY,john.curran2@collins.com,"MC CARTHY, DENIS",d.mccarthy@collins.com,,V14RP02,,3/2/2026
"CURRIE, FRASER",,,QUEEN ALIA INTERNATIONAL AIRPORT,,,mailto:safety-quality.management@joramco.com.jo,JORDAN AIRCRAFT MAINTENANCE LIMITED,+96264451177,RJAY596H,AMMAN,JORDAN,DBA JORAMCO,RJAY,mailto:safety-quality.management@joramco.com.jo,"MORENO, VICTOR",vmoreno@joramco.com.jo,,11104,,3/2/2026
"CURRIER, BRANDON CHARLES",,,4391 INTERNATIONAL GATEWAY,,,,LANE AVIATION CORP,6142373747,DYCR407D,COLUMBUS,UNITED STATES,,DYCR,,BRANDON CURRIER,bcurrier@laneaviation.com,6142373747 EXT. 265,43219,OH,3/2/2026
"CURTIS, CALEB K",,,176 HARRISON STREET,,,caleb.curtis@curtisair.com,CURTIS AIR,2074875213,CAIR243E,PITTSFIELD,UNITED STATES,,CAIR,caleb.curtis@curtisair.com,CALEB K. CURTIS,caleb.curtis@curtisair.com,2074875213,04967,ME,3/2/2026
"CURTIS, HERB",,,4601 NORTH MAIN ST.,,,,INTERNATIONAL AEROSPACE COATINGS INC,2143975331,8LER920B,FORT WORTH,UNITED STATES,,8LER,,"FARRIS, CARL",carl.farris@iac.aero,2143975331 EXT. 607,76106,TX,3/2/2026
"CURTISS, JEFFREY R.",,,506 CHARLOTTE ROAD,,,,AIRCRAFT PROPELLER WORKS INC,,4TZR125D,AUBURNDALE,UNITED STATES,,4TZR,,"PARISH, MICHAEL S.",office@aircraftpropellerworks.com,8638754800,33823,FL,3/2/2026
"CUTILLO, GIAN PIERO",,,VIA G. AGUSTA 520,,,,LEONARDO S.P.A. - HELICOPTERS,,U3GY111D,CASCINA COSTA DI SAMAR,ITALY,,U3GY,,"CIRELLI, CLAUDIO",claudio.cirelli@leonardo.com,,21017,,3/2/2026
"D'ALO, GIUSEPPE",,,VIA VERDI 33/35,20034 SAN GIORGIO SU,,,ASE S. P. A.,,3EEY444C,LEGNANO,ITALY,,3EEY,,"BRAMBILLA, DANIELE",d.brambilla@ase-spa.com,,,,3/2/2026
"D'ANIELLO, NICHOLAS M",,,6015 SOUTH PORTLAND AVENUE,,,,FIELD AEROSPACE,,Y5ER795X,OKLAHOMA CITY,UNITED STATES,,Y5ER,,MATT MCDONOUGH,mmcdonou@fieldaero.com,4052193457,73159,OK,3/2/2026
"D'ARCY, IAN DAVID",,,BD06/07/BC07,JEBEL ALI FREE ZONE,,ian.darcy@hawkerpacific.com,RBIH MIDDLE EAST FZE,971544550,6RBY351C,DUBAI,UNITED ARAB EMIRATES,,6RBY,ian.darcy@hawkerpacific.com,"PARIAN, OLIVER",oliver.parian@rbihawker.com,,,,3/2/2026
"DACHSEL, HEINZ",,,"OBERDILLER STR, 29",,,,FLUGMOTOREN-REPARATUR HEINZ DACHSEL GMBH,,8HZY296D,BAIERBRUNN,GERMANY,,8HZY,,"MARC, LEDWON",qm@dachsel.de,,82065,,3/2/2026
"DADON, DALIT",,,716 SOUTH MILITARY TRAIL,,,,ORBIT COMMUNICATION SYSTEMS INC,9547423831,YCVR496X,DEERFIELD BEACH,UNITED STATES,,YCVR,,"REFSNIDER, STEVEN",steven.refsnider@orbit-cs-usa.com,9547423831,33442,FL,3/2/2026
"DAFFER, JON T",,,5 BLANCO ROAD,SANDIA AIR PARK,,,TEC-AIR INC,,QJCR740X,EDGEWOOD,UNITED STATES,,QJCR,,"JON, DAFFER",jtd.fly@gmail.com,5052204086,87015,NM,3/2/2026
"DAHL, SAWYER",,,3401 WEST TRUNK HWY 21,,,qualityaviationinc@gmail.com,QUALITY AVIATION INC,5073320140,4QIR152D,FARIBAULT,UNITED STATES,,4QIR,qualityaviationinc@gmail.com,SAWYER DAHL,qualityaviationinc@gmail.com,5073320140,55021,MN,3/2/2026
"DAHLER, ROGER",,,3833 PREMIER AVE.,,,,AVIONICS SPECIALIST INC,,PK4R443M,MEMPHIS,UNITED STATES,,PK4R,,"TIPPITT, JOHN",jtippitt@avionics-specialist.com,9013629700,38118,TN,3/2/2026
"DAILEY, IRA LEON",,,2154 HIGHWAY 136 W,HANGAR P,,,VERTICAL FLIGHT MAINTENANCE LLC,,3VFR751D,HENDERSON,UNITED STATES,,3VFR,,IRA LEON DAILEY,ildailey@yahoo.com,,42420,KY,3/2/2026
"DAILLER, OLIVIER",,,"196, RUE LOUIS RUSTIN",ARCHAMPS TECHNOPLE,,,MEGGITT (SENSOREX),,99MY805C,ARCHAMPS,FRANCE,,99MY,,GRIES RÉGINE,regine.gries@parker.com,,74160,,3/2/2026
"DALIT, THIBAUT",,,345 RUE DES MADELEINES,,,t.naulleau@cemg.fr,CEMG AEROSAUVETAGE,33-160-38-20-30,G24Y176X,MAREUIL LES MEAUX,FRANCE,,G24Y,t.naulleau@cemg.fr,"MARTIN LOPEZ, JOAN",joan.martinlopez@cemg.fr,,77100,,3/2/2026
"DANCLAIR, IRWIN K.",,,15501 SW 29TH STREET,SUITE 201,,,AERO ACCESSORIES & REPAIR LLC.,,77AR783B,MIRAMAR,UNITED STATES,,77AR,,"DIAZ, CARLOS",cdiaz@aeroaccessories.us,9542661300,33027,FL,3/2/2026
"DANGLE, PATRICK EARL",,,"6336 SOUTH AIRFIELD DR.,  # C7",,,,"TAIGLOBAL GROUP, LLC",,D5VR189N,TUCSON,UNITED STATES,,D5VR,,"DANGLE, PATRICK, E.",dangle.pe@taiglobalgroup.com,5202947294,85735,AZ,3/2/2026
"DANIELS, JOSHUA LEE",,,CARROLL COUNTY REGIONAL AIRPORT,200 AIRPORT DRIVE,,jdaniels@skytechinc.com,PILATUS AIRCRAFT USA LTD.,4105744144,LF1R294K,WESTMINSTER,UNITED STATES,,LF1R,jdaniels@skytechinc.com,JOSHUA DANIELS,joshua.daniels@pilatus-aircraft.com,4105744144 EXT. 1308,21157,MD,3/2/2026
"DAPP, BRIAN",,,11850 MAYFIELD,,,,BEAVER AEROSPACE AND DEFENSE INC,7348535003,MI5R042N,LIVONIA,UNITED STATES,,MI5R,,BRIAN DAPP,brian.dapp@herouxdevtek.com,7348535450,48150,MI,3/2/2026
"DARRACH, WALTER",,,4985 VOYAGER DR. HANGAR 2,,,,JUST PLANE MAINTENANCE LLC,,1J9R551D,DALLAS,UNITED STATES,,1J9R,,WALTER DARRACH,walter.darrach@justplanemx.com,9402975071,75237,TX,3/2/2026
"DART, DUANE",,,DUTCHESS COUNTY AIRPORT,32 GRIFFITH WAY,,,ASSOCIATED AIRCRAFT GROUP,,AYPR340S,Wappingers Falls,UNITED STATES,,AYPR,,DUANE DART,duane.dart@flexjet.com,8454636500,12590,NY,3/2/2026
"DAUDON, GUILLAUME",,,9 RUE DES 29 AVIATEURS,,,gdaudon@otonomy-aviation.com,OTONOMY AVIATION,33557892163,8OTY722C,MERIGNAC,FRANCE,,8OTY,gdaudon@otonomy-aviation.com,"DANIELLI, MAXIME",mdanielli@otonomy-aviation.com,,33700,,3/2/2026
"DAUGHERTY, KEVIN",,,7600 N. W. 26TH STREET,,,,AVBORNE ACCESSORY GROUP INC D/B/A AERSALE COMPON,,YA4R667M,MIAMI,UNITED STATES,DBA AERSALE COMPONENT SOLUTIONS,YA4R,,"TAYLOR, DOMINIC",dtaylor@aersale.com,3055936038 EXT. 5420,33122,FL,3/2/2026
"DAVIDSON, EDWIN",,,3300 AIRPORT ROAD,"HANGAR 2, SUITE 121",,aog@bocamx.com,BOCA AIRCRAFT MAINTENANCE LLC,5613473333,3BOR535B,BOCA RATON,UNITED STATES,,3BOR,aog@bocamx.com,EDWIN DAVIDSON,ed.davidson@bocamx.com,5613473333,33431,FL,3/2/2026
"DAVIES, DAVID",,,18000 PHANTOM WEST DRIVE,,,michaelhardell@ge.com,"GE AVIATION, FLIGHT TEST OPERATION",7605305303,AB3R365L,VICTORVILLE,UNITED STATES,,AB3R,michaelhardell@ge.com,,,,92394,CA,3/2/2026
"DAVIES, JEFF",,,5484 E. PERIMETER RD.,,,,ROGERS HELICOPTERS INC,,CUCR022D,FRESNO,UNITED STATES,,CUCR,,"DAVIES, JEFF",jeff@rogershelicopters.com,5592925248,93727,CA,3/2/2026
"DAVIS, ANDRE",,,1177 NORTH GREAT SOUTHWEST PARKWAY,,,,PRATT & WHITNEY GLOBAL SERVICE PARTNERS,9723431300,P82R980N,GRAND PRAIRIE,UNITED STATES,"DBA DALLAS AIRFOIL REPAIR
   REPAIR OPERATIONS",P82R,,"REDDY, AJAY S.",ajay.reddy@prattwhitney.com,9723431372 EXT. 2032,75050,TX,3/2/2026
"DAVIS, ANDREW",,,415 RIVERSIDE ROAD,,,,NORTHWEST AEROSPACE TECHNOLOGIES INC,4252572044,NX0R661Y,EVERETT,UNITED STATES,,NX0R,,"DAVIS, ANDREW",andrew.davis2@safrangroup.com,4252125094,98201,WA,3/2/2026
"DAVIS, CARL",,,206 JETPORT ROAD,,,carl@kingairnation.com,AIRCRAFT AND COMPONENT TECHNICAL SERVICES,6019360777,A1TR509Y,BRANDON,UNITED STATES,DBA KING AIR NATION,A1TR,carl@kingairnation.com,VINCE PATTERSON,vince@kingairnation.com,6019360754,39047,MS,3/2/2026
"DAVIS, JASON",,,"100 AVIATION DRIVE, SUITE 100",,,,"PIEDMONT HAWTHORNE AVIATION, LLC",,H00R564Y,CHARLOTTESVILLE,UNITED STATES,DBA SIGNATURE FLIGHT SUPPORT,H00R,,VACANT,,4349781474,22911,VA,3/2/2026
"DAVIS, JILL",,,1150 WALNUT AVE.,,,,DAVIS AIRCRAFT PRODUCTS COMPANY INC,,D5PR729J,BOHEMIA,UNITED STATES,,D5PR,,GREGG SIEBER,gsieber@davisaircraft.com,6315631500 EXT. 145,11716,NY,3/2/2026
"DAVIS, LARRY M.",,,196 HWY 980,,,,HAMPTON AVIATION,4793945290,2HVR792B,MENA,UNITED STATES,,2HVR,,PETER HERR,peterh@hamptonaviation.com,4793945290,71953,AR,3/2/2026
"DAVIS, MARK",,,122 NEW PRICE PIKE,,,,AIR ELITE LLC,,5A8R960B,ERLANGER,UNITED STATES,,5A8R,,"DAVIS, MARK AARON",mark@air-elitemx.com,8882305268,41048,KY,3/2/2026
"DAVIS, MICHAEL",,,294 S. LELAND NORTON WAY,"BUILDING 759, SUITE 5",,admin@afsrinc.com,AVIATION FUEL SYSTEMS REPAIR INC,2103754171,QFRR548K,SAN BERNARDINO,UNITED STATES,,QFRR,admin@afsrinc.com,SHANE COLLINS,scollins@davcoraviation.com,9097323112,92408,CA,3/2/2026
"DAY, DARRELL D.",,,8217 9TH STREET WEST,,,ddaythunder@mchsi.com,DARRELL D. DAY,3097870107,PIWR475K,ROCK ISLAND,UNITED STATES,DBA PI-BALL BALLOONS,PIWR,ddaythunder@mchsi.com,"DAY, DARRELL D",,3097870107,61201,IL,3/2/2026
"DE LA PAZ, JORGE L",,,860 W 84TH STREET,,,jorge@altimatechnologies.com,ROVER AEROSPACE INC,3055947799,T0LR538Y,HIALEAH,UNITED STATES,DBA ALTIMA TECHNOLOGIES,T0LR,jorge@altimatechnologies.com,HERMINIO CUEVAS,herminiocuevas@altimatechnologies.com,3055947799,33014,FL,3/2/2026
"DE LA TORRE, MIGUEL",,,14260 SW 143 CT.,SUITES 606,,,RMD TURBINE INC,,RTBR346E,MIAMI,UNITED STATES,,RTBR,,MARTIN CORDERO,martinc@rmdturbine.com,7864438183,33186,FL,3/2/2026
"DE LIMA, EVERTON VICENTE",,,"AV. BRIGADEIRO FARIA LIMA,","BUILDINGS F-66 & F77 ,2170 PUTIM",,,EMBRAER S.A.,+5512981238624,6EZZ461C,SAO JOSE DOS CAMPOS,BRAZIL,,6EZZ,,ALUISIO BERNADES SILVA,aluisio.bernardes@embraer.com.br,,12227,SP,3/2/2026
"DE PASCAL, AXEL TANGUY",,,HELICOPTER CENTRE,"MALAYSIA INT'L AEROSPACE CENTRE, (M",,,AIRBUS HELICOPTERS MALAYSIA SDN. BHD.,60378487700,U6OY204B,SUBANG,MALAYSIA,,U6OY,,ABDUL HALIM BIN ABDUL WAHID,abdul-halim.bin-abdul-wahid@airbus.com,,47200,,3/2/2026
"DE SOUSA, MIGUEL",,,ROUTE DU HOUGA,,,mail@potez.com,POTEZ AERONAUTIQUE,33558718819,ZTQY748X,AIRE SUR ADOUR,FRANCE,,ZTQY,mail@potez.com,"FRITEAU, SEBASTIEN",sebastien.friteau@potez.com,,40800,,3/2/2026
"DE VRIES, STEFFEN",,,PLANTOFSWEG 76,,,,AERONAMIC BV,,33OY428C,ALMELO,NETHERLANDS,,33OY,,"PRINS,JEROEN",jeroen.prins@aeronamic.com,,7601PJ,,3/2/2026
"DEAN, EDWARD G.",,,9356 1/2 SAN FERNANDO ROAD UNIT B,,,,ACTIVE MAGNETIC INSPECTION INC,,VMGR331L,SUN VALLEY,UNITED STATES,,VMGR,,"HERRERA,  DAVID",davidherrera@activemag1.com,8185040677 EXT. 107,91352,CA,3/2/2026
"DEASON, DONALD D.",,,32650 AIRPORT ROAD,,,,DEASON AIRCRAFT SERVICES INC,,D7ZR200Y,PAOLA,UNITED STATES,,D7ZR,,"DEASON, DONALD",,9137554107,66071,KS,3/2/2026
"DEBARMORE, WILLIAM V.",,,10000 AIRPARK WAY,,,,VISTA AVIATION INC,,XW2R308L,"PACOIMA,",UNITED STATES,,XW2R,,"DEBARMORE, WILLIAM (BILL) V.",vista@vistaaviation.com,8188966442 EXT. 206,91331,CA,3/2/2026
"DEBREE', ROBERT",,,12010 INTERMOUNTAIN ROAD,,,robreliance@aol.com,RELIANCE AVIATION PROPELLER MACHINE SHOP,5305495746,R4PR085N,REDDING,UNITED STATES,,R4PR,robreliance@aol.com,"DEBREE, ROBERT",,5305495746,96003,CA,3/2/2026
"DECKER, DAVID",,,500 GULFSTREAM ROAD,,,,GULFSTREAM AEROSPACE CORPORATION,,G02R813X,SAVANNAH,UNITED STATES,"DBA GULFSTREAM MANUFACTURERS
   MAINTENANCE FACILITY",G02R,,FRANK DEFELICE,frank.defelice@gulfstream.com,,31047,GA,3/2/2026
"DECKER, TIMOTHY TODD",,,3711 STERNSRD,,,,T&W AIRCRAFT ELECTRICAL LLC,,7W3R732D,VALRICO,UNITED STATES,,7W3R,,TIMOTHY TODD DECKER,sales@twaircraftelectrical.com,8137409049,33596,FL,3/2/2026
"DEFINA, JON",,,4682 CALLE BOLERO,SUITE C,,,MOMENTUM FPD SERVICES CORPORATION,8053841900,9C1R145C,CAMARILLO,UNITED STATES,"DBA PRECISION DISPLAY REPAIRS
DBA PDR",9C1R,,"JON, DEFINA",jon.defina@momentum-fpd.com,8053841900,93012,CA,3/2/2026
"DEJEAN, ERIC",,,1782 AIRPORT ROAD,,,,AIRBUS HELICOPTERS INC,,E80R805X,COLUMBUS,UNITED STATES,,E80R,,"DEJEAN, ERIC",eric.dejean@airbus.com,6622446291,39701,MS,3/2/2026
"DEKOKER, KRAIG",,,48 AVIATION DR. STE 2,,,ghostrideravionics@gmail.com,GHOSTRIDER AVIATION LLC,9032384893,GHAR661E,GILMER,UNITED STATES,,GHAR,ghostrideravionics@gmail.com,KRAIG DEKOKER,ghostrideravionics@gmail.com,9032384893,75645,TX,3/2/2026
"DEL DUCA, RICCARDO",,,LIEGE-BIERSET AIRPORT BLDG 60,,,salvatore.ritrosi@leonardocompany.com,LEONARDO BELGIUM S.A.,+39 346 801 4663,I9AY681Y,GRACE-HOLLOGNE,BELGIUM,DBA LBE,I9AY,salvatore.ritrosi@leonardocompany.com,"DE METS, MICHA",micha.demets@leonardocompany.com,,4460,,3/2/2026
"DEL LAMA ROCHA, FABIO",,,"RUA HAROLDO PARANHOS, 400",CONGONHAS AIRPORT,,silvia.cioletti@lideraviacao.com.br,LIDER TAXI AEREO S/A-AIR BRASIL,5531 3490 4611,AV5Y741M,SAO PAULO,BRAZIL,DBA LIDER AVIACAO,AV5Y,silvia.cioletti@lideraviacao.com.br,FABIO DEL LAMA ROCHA,fabio.rocha@lideraviacao.com.br,,04357-060,SP,3/2/2026
"DELGADO, ALAN",,,901 AVENUE T,SUITE 102,,,"HERITAGE AVIATION, LTD.",,IPTR140L,GRAND PRAIRIE,UNITED STATES,,IPTR,,"HULSEY, ROGER",rhulsey@heritageaviationltd.com,9729888000 EXT. 3663,75050,TX,3/2/2026
"DELISLE, PHILIPPE",,,BOIS DE PONTHUAL,AEROPORT DE DINARD-PLEURTUIT-ST MAL,,,SABENA TECHNICS DNR,,XD6Y805J,SAINT LUNAIRE,FRANCE,,XD6Y,,"DECHAMPS, FREDERIC",frederic.deschamps@sabenatechnics.com,,35800,,3/2/2026
"DELLAVIA, DONALD",,,2265 VALLEY BRANCH LANE,,,donald.a.dellavia@spiritaero.com,SPIRIT AEROSYSTEMS INC,9726202100,EUWR225L,DALLAS,UNITED STATES,,EUWR,donald.a.dellavia@spiritaero.com,JOEL DUGLE,joel.j.dugle@spiritaero.com,9726202100,75234,TX,3/2/2026
"DELONG, JAMES M",,,697 BELDEN ROAD,,,,BUN AIR AVIONICS CORPORATION,8146238171,3B0R054N,BEDFORD,UNITED STATES,,3B0R,,"DELONG, JAMES M",,8144940929,15522,PA,3/2/2026
"DELOZE, PHILIPPE",,,UNIT 610 AVENUE WEST,SKYLINE 120,,,SAFRAN AEROSYSTEMS SERVICES UK LTD,,Z5KY074B,BRAINTREE,UNITED KINGDOM,,Z5KY,,"PALMER, STUART",stuart.palmer@safrangroup.com,,CM77 7AA,ENG,3/2/2026
"DELVALLE, DEAN",,,1045 WILLIAMSBURG,,,,TIME AEROSPACE LLC,,T6ER555Y,SCHERTZ,UNITED STATES,,T6ER,,"DELVALLE, DEAN",dean@timeaerospace.com,2108855118,78154,TX,3/2/2026
"DEMEKE, DANIEL",,,ETHIOPIAN MRO,BOLE INTERNATIONAL AIRPORT,,,ETHIOPIAN MRO,,ETIY102F,ADDIS ABABA,ETHIOPIA,,ETIY,,"ERESI, ZELALEM",zelaleme@ethiopianairlines.com,,-,,3/2/2026
"DEMENY, ARPAD",,,BUDAPEST LISZT FERENC AIRPORT,,,,AEROPLEX OF CENTRAL EUROPE,,A36Y434J,BUDAPEST,HUNGARY,DBA ACE,A36Y,,BALÁZS NAHÓCZKY,nahoczky.balazs@aeroplex.com,,1185,,3/2/2026
"DENARO, LEONARDO",,,VIA MONTE D'ORO 31 BIS/B,,,,ABL S.R.L.,,4A6Y352C,POMEZIA,ITALY,,4A6Y,,"FIORDELLI, ANTONIO",quality@ablsrl.com,,00071,,3/2/2026
"DENHAM, MEGAN",,,716 S GREENVILLE AVE #190,,,,CROUZET NORTH AMERICA INC,4692705022,CR4R634E,ALLEN,UNITED STATES,,CR4R,,MEGAN DENHAM,megan.denham@crouzet.com,4692705022,75002,TX,3/2/2026
"DENNIS, KEITH",,,846 KEEZLETOWN ROAD,SUITE A,,,PREFLIGHT REPAIR SERVICES INC,,2P1R906B,WEYERS CAVE,UNITED STATES,,2P1R,,KEITH DENNIS,keith@preflightrepair.com,5402480397,24486,VA,3/2/2026
"DENNY, ALEX",,,4230 RESEARCH BLVD,,,alex.dennny@unisonindustries.com,"UNISON INDUSTRIES, LLC",9374907015,GH5R883M,BEAVERCREEK,UNITED STATES,,GH5R,alex.dennny@unisonindustries.com,ALEX DENNY,alex.denny@unisonindustries.com,9373080256,45430,OH,3/2/2026
"DENNY, RYAN",,,4130 MENNES AVE. HANAGR #59,,,,TRUE NORTH AVIONICS LLC,,TNVR652E,RIVERSIDE,UNITED STATES,,TNVR,,,,,92509,CA,3/2/2026
